通し番号,RJナンバー,タイトル,サークル,声優,値段,販売数,ジャンル,発売日
64,RJ253224,"エルフ精霊詰め合わせ","スタジオレイン","逢坂成美;西浦のどか",4180,189,"連続絶頂;ラブラブ/あまあま;純愛;母親;エルフ/妖精;人外娘/モンスター娘",2019年05月25日
65,RJ245454,"エルフお姉さんと新婚ラブラブ異世界生活","スタジオレイン","逢坂成美",1650,549,"オールハッピー;連続絶頂;ラブラブ/あまあま;純愛;妊娠/孕ませ;エルフ/妖精",2019年05月11日
66,RJ244554,"恋の女神のキューピット様が20歳過ぎの童貞君に社会の実情を教えて射精の劣情で極上のマゾオナニーを味わわせてあげる♪","7 Cats and Nuts ねこなっつ","逢坂成美",880,194,"バイノーラル/ダミヘ;言葉責め;男性受け;童貞",2019年05月01日
67,RJ250383,"ねむねむもーどっ!～眠れる絵本作家ちゃんは睡眠欲が頂点に達するとえっちになっちゃうの?!～","きよみみっくす","こやまはる;逢坂成美;秋野かえで",1100,313,"バイノーラル/ダミヘ;学校/学園;ラブラブ/あまあま;フェラチオ;言葉責め;メガネ",2019年04月29日
68,RJ250241,"年下の女の子に腰へこへこさせてもらうけど絶対負けないからな!","USA WORKS","来栖オミ;逢坂成美",1100,482,"妹;先輩/後輩",2019年04月19日
69,RJ249370,"高貴で優しい姫騎士が、あなたを褒めながら射精させてくれるお話♪","ダチュラスクリプト","逢坂成美",1100,3808,"淫語;バイノーラル/ダミヘ;ラブラブ/あまあま;中出し;アナル;年上",2019年04月13日
70,RJ243984,"【立体音響】あまいも-義妹といちゃらぶエッチ【背徳エッチ】","ディーブルスト","逢坂成美",1320,1291,"癒し;ASMR;耳かき;浮気;中出し;義妹",2019年04月07日
71,RJ247903,"あいぽんとのんちゃんのおねだり生放送～配信してたら貢ぎマゾ釣れちゃいました～","ココナッツの夏！","逢坂成美;天知遥",1100,1263,"萌え;淫語;バイノーラル/ダミヘ;言葉責め",2019年03月14日
72,RJ247346,"男性器科女医神楽坂結の性機能強化病棟","ココナッツの夏！","逢坂成美",1100,1526,"バイノーラル/ダミヘ;耳かき;言葉責め;焦らし;耳舐め",2019年02月28日
73,RJ246625,"魔法少女姉妹と過ごすエロ甘搾精性活","ふぁんしふるボイス","逢坂成美",1320,1101,"ラブラブ/あまあま;手コキ;フェラチオ;複数プレイ/乱交;姉妹;魔法少女",2019年02月23日
74,RJ245015,"オナサポスクール エッチな身体の外国人英語講師とJOIレッスン","シルトクレーテ","逢坂成美",1100,1026,"バイノーラル/ダミヘ;オナニー;言葉責め;焦らし;女教師;外国人",2019年02月13日
75,RJ242160,"双子のおしおき ～催眠術の実験台～(バイノーラル収録)","オナらぼ","逢坂成美",1100,191,"萌え;催眠音声;ラブラブ/あまあま;初体験;催眠;妹",2019年02月01日
76,RJ244855,"挟まれ絞られ援助交際～白黒JKのザーメン争奪戦、枯れ果てる僕のち〇ぽ～","ココナッツの夏！","秋野かえで;逢坂成美",1320,4283,"バイノーラル/ダミヘ;フェラチオ;耳舐め",2019年01月25日
77,RJ241705,"【マゾ犬調教】常闇奴隷ちゃんねる【地獄のお漏らし射精】","常世常闇所々","逢坂成美",1100,621,"脚;色仕掛け;SM;調教;女王様/お姫様;下着",2019年01月18日
78,RJ242833,"童貞殺しの女子大生〜清楚系ビッチな女の子にコロッと騙されてチョロ〜く堕とされちゃうお話(バイノーラル)〜","マジチョロドミネーション","逢坂成美",770,629,"逆転無し;淫語;色仕掛け;言葉責め;男性受け;黒髪",2019年01月06日
79,RJ242144,"恋研調査報告書File.1","ぺーるとーんれいんぼぅすたー","西浦のどか;逢坂成美",660,206,"萌え;学校/学園;ラブコメ;耳舐め;先輩/後輩",2018年12月28日
80,RJ240488,"添い寝して耳舐めしてくれる僕の幼なじみ","ハニーアンドミルク","逢坂成美",550,759,"萌え;バイノーラル/ダミヘ;ASMR;ラブラブ/あまあま;手コキ;幼なじみ",2018年12月06日
81,RJ240034,"教え子JK達に指示される乳首オナニー★大好きな変態ダメ先生にとびきりの乳首アクメをプレゼント!","夜のパティシエ","結姫うさぎ;逢坂成美;山田じぇみ子;篠守ゆきこ;こやまはる",1100,1114,"学校/学園;退廃/背徳/インモラル;学生;乳首/乳輪",2018年11月30日
82,RJ240017,"M for Masquerade 咲:可惜夜の花","夢想界","逢坂成美",1100,1100,"バイノーラル/ダミヘ;足コキ;中出し;パイズリ;言葉責め;男性受け",2018年11月30日
83,RJ239144,"VSレベルドレインサキュバス～勇者くんのレベル、ぜ～んぶ飲み干してあげる♪～","CKD&#039;s","逢坂成美",1100,1263,"逆転無し;手コキ;パイズリ;SM;逆レイプ;男性受け",2018年11月22日
